Prompt;Response;Ground Truth
"Sitora Alieva
Sitora Shokhinovna Alieva – film expert, director of the IFF “ Faces of love ” and the IIF Sochi, artistic director of the largest Russian national film festival “ Kinotavr ”, Russian Ministry of Culture film expert, lecturer at film schools and universities, juror at numerous film festivals, including Berlinale, Venice Film Festival, etc.

Who is the mother of the director of film Polish-Russian War (Film)?";Sitora Alieva;Małgorzata Braunek
"The Face of Fu Manchu
The Face of Fu Manchu is a 1965 thriller film directed by Don Sharp and based on the characters created by Sax Rohmer. It stars Christopher Lee as the eponymous villain, a Chinese criminal mastermind, and Nigel Green as his pursuing rival Nayland Smith, a Scotland Yard detective. The film was a British- West German co-production, and was the first in a five- part series starring Lee and produced by Harry Alan Towers for Constantin Film, the second of which was"" The Brides of Fu Manchu"" released the next year, with the final entry being"" The Castle of Fu Manchu"" in 1969. It was shot in Technicolor and Techniscope, on- location in County Dublin, Ireland.

Which film came out first, Blind Shaft or The Mask Of Fu Manchu?";The Mask of Fu Manchu.;The Mask Of Fu Manchu
"John VI, Prince of Anhalt-Zerbst
John VI of Anhalt-Zerbst (Zerbst, 24 March 1621 – Zerbst, 4 July 1667), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the only son of Rudolph, Prince of Anhalt-Zerbst, by his second wife Magdalene, daughter of John VII, Count of Oldenburg.

When did John V, Prince Of Anhalt-Zerbst's father die?";1621;12 June 1516
"Bengal Film Journalists' Association
Best Music Director Award (Hindi) - Here is a list of the award winners and the films for which they won.

What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?";Best Music Director Award (Hindi);Myanmar Motion Picture Academy Awards
"Rocket Girl (disambiguation)
Rocket Girl or Girls in plural may refer to:

Where was the director of film Ronnie Rocket born?";David Lynch.;Missoula, Montana
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Where was the father of Ștefan I. Nenițescu born?";Bucharest;Galați
"Marion High School (Indiana)
Marion High School is a high school in Marion, Indiana with more than 1,000 students.

Are North Marion High School (Oregon) and Seoul High School both located in the same country?";No.;no
"Gustavo Fuertes
Among his main works it highlights the short film El Juicio Final (US Title: The Final Judgement(1992) which won a Silver Plaque in Chicago International Film Festival.

Which film has the director who was born later, El Extraño Viaje or Love In Pawn?";"""Love In Pawn""";El Extraño Viaje
"Antiochus (son of Antiochus III the Great)
Antiochus( 221 BC – 193 BC) was a Seleucid prince, first- born child to the Seleucid monarchs Antiochus III the Great and Laodice III, and his father's first heir.

Who is the maternal grandfather of Antiochus X Eusebes?";Antiochus III the Great.;Ptolemy IX Lathyros
"Gustavo Fuertes
Among his main works it highlights the short film El Juicio Final (US Title: The Final Judgement(1992) which won a Silver Plaque in Chicago International Film Festival.

Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?";"""The Working Class Goes To Heaven""";The Working Class Goes To Heaven
"The Woman in White
The Woman in White may refer to:

Which film has the director born first, Once A Gentleman or The Girl In White?";Once A Gentleman (dir. born in 1860), The Girl In White (dir. born in 1891);Once A Gentleman
