Question ID,GPT Response,Ground Truth Answer,Prompt
a9a4b633089c11ebbd78ac1f6bf848b6,Monsieur Taxi,A Yiddish World Remembered,"Andrea Štaka
Andrea Štaka is a Swiss film director best known for winning the Golden Leopard at the 59th Locarno International Film Festival in 2006 for her film,"" Das Fräulein"". Štaka was born in Lucerne in 1973. She attended the film and video department of the Hochschule für Gestaltung und Kunst Zürich. She lives in Zürich and New York.

Which film has the director born later, Monsieur Taxi or A Yiddish World Remembered?"
f64be57a0bdd11eba7f7acde48001122,No information provided.,"August 7, 2004","Kim Dae-jung
Kim Dae-jung, or Kim Dae Jung( 6 January 192418 August 2009), was a South Korean politician who served as President of South Korea from 1998 to 2003. He was a 2000 Nobel Peace Prize recipient, the only Korean Nobel Prize recipient in history. He was sometimes referred to as the"" Nelson Mandela of South Korea"".

What is the date of death of the director of film Escándalo De Estrellas?"
6c2aa97108d711ebbd9aac1f6bf848b6,Trouble With Jolanthe.,Trouble With Jolanthe,"Red Roses for Me (song)
Red Roses For Me is a single by The Dubliners and Niamh Kavanagh charting at No.13 in the Irish Charts in 1994. This was the last single Ronnie Drew would ever release with The Dubliners.

Which film has the director born first, Trouble With Jolanthe or Children Of Fortune?"
a5b095c00bdd11eba7f7acde48001122,"John Beal was born in Santa Monica, California.",California,"Pokémon Rumble Blast
Pokémon Rumble Blast, known in the PAL region as Super Pokémon Rumble and known in Japan as , is an action beat 'em up video game in the Pokémon series for the Nintendo 3DS. The game was released in Japan on August 11, 2011, in North America on October 24, 2011 and in Europe on December 2, 2011. It is a successor to the 2009 WiiWare release ""Pokémon Rumble"".

Where was the composer of film Terror In The Aisles born?"
8471ae5808d111ebbd95ac1f6bf848b6,Graves Without A Name,Graves Without A Name,"Vladaya
Vladaya is a village situated on the Vitosha and Lyulin mountains in western Bulgaria at an altitude of about 1000 m. In the 2011 census in Vladaya were counted 4043 residents, which makes it the 10th- largest village in Bulgaria.

Which film whose director is younger, Roland The Mighty or Graves Without A Name?"
769106c40bda11eba7f7acde48001122,Billy Connolly is alive.,laryngeal cancer,"Billy Connolly
In 1985, he divorced Iris Pressagh, his wife of sixteen years (they had separated four years earlier) and he was awarded custody of their children Jamie and Cara. That same year, he performed An Audience with..., which was videotaped at the South Bank Television Centre in front of a celebrity audience for ITV. The uncut, uncensored version was subsequently released on video. In July 1985, he performed at the Wembley leg of Live Aid, immediately preceding Elton John.

What is the cause of death of performer of song Oh Boy, Oh Boy, Oh Boy!?"
5a83ed2f086611ebbd5eac1f6bf848b6,When You're Strange.,Vzdušné Torpédo 48,"Kolodischi TV Mast
The Kolodischi TV Mast  is a 350-metre tall guyed TV mast situated at Kolodischi, east of Minsk in Belarus. It is among the tallest towers in Belarus.

Which film has the director who is older, When You'Re Strange or Vzdušné Torpédo 48?"
3a3c2efe0bdc11eba7f7acde48001122,English,Germany,"Norman Miscampbell
Norman Alexander Miscampbell, QC( 20 February 1925 – 16 February 2007) was a British Conservative Party politician. He served as Member of Parliament( MP) for Blackpool North for 30 years, from 1962 to 1992, making him Blackpool's longest serving MP.

What nationality is Beatrice I, Countess Of Burgundy's husband?"
b25687fa090011ebbdadac1f6bf848b6,Taxi Zum Klo,Saajan Bina Suhagan,"The Jewish Quarterly Review
The Jewish Quarterly Review is a quarterly peer-reviewed academic journal covering Jewish studies. It is published by the University of Pennsylvania Press on behalf of the Herbert D. Katz Center for Advanced Judaic Studies (University of Pennsylvania). The editors-in-chief are Elliott Horowitz, David N. Myers UCLA, and Natalie Dohrmann. It is available online through Project MUSE and JSTOR. The journal was established in London in 1889 by Israel Abrahams and Claude G. Montefiore as an English-language concurrent of the French ""Revue des études juives"", itself an outgrowth of the Wissenschaft des Judentums movement. It is the oldest English-language journal of Judaic scholarship.

Which film was released first, Taxi Zum Klo or Saajan Bina Suhagan?"
b8e9d716088411ebbd6dac1f6bf848b6,East/West,"Şaban, Son Of Şaban","Eugene Bossilkov
Blessed Eugene Bossilkov, born Vincent Bossilkov( b. 16 Nov 1900- 11 Nov 1952), was a member of the Passionist Congregation, Roman Catholic bishop of Nicopolis and martyr in the Communist campaign in Bulgaria against religion. He had studied in Rome for his doctorate at the Pontifical Oriental Institute and became a parish priest in the Danube Valley. After becoming bishop, in 1952 he was arrested, together with many other religious, and executed for ostensible crimes against the state. He was beatified by Pope John Paul II in 1998.

Which film has the director born first, Şaban, Son Of Şaban or East/West?"
