Question ID,GPT Response,Ground Truth Answer,Prompt
a9a4b633089c11ebbd78ac1f6bf848b6,A Yiddish World Remembered,A Yiddish World Remembered,"Monsieur Taxi
Monsieur Taxi (""Mister Taxi"") is a 1952 French comedy film which was directed André Hunebelle, written by Jean Halain, and starring Michel Simon and Louis de Funès. It is about Pierre Verger, who is nicknamed Monsieur Taxi and always in company of a smart young dog called ""Gangster"".

Taxi (1998 film)
Taxi is a 1998 French action comedy film starring Samy Naceri, Frédéric Diefenthal and Marion Cotillard, written by Luc Besson and directed by Gérard Pirès. It has four sequels,"" Taxi 2 Taxi 3 Tax i 4"" and"" Taxi 5"" and one American remake,"" Taxi""( 2004). It also provided the premise for the 2014 American television show,"" Taxi Brooklyn"".

Taxi 3
Taxi 3 is a 2003 French action comedy film directed by Gérard Krawczyk. Starring Samy Naceri, Frédéric Diefenthal and Marion Cotillard. It is the sequel to ""Taxi 2"", and was followed by ""Taxi 4"".

A Yiddish World Remembered
A Yiddish World Remembered is a 2002 Emmy- award- winning documentary by Andrew Goldberg that uses archival photographs, never- before- seen archival videos, and survivor testimony to reconstruct the Jewish communities of Eastern Europe, which were destroyed by the Holocaust. Oscar nominated actor Elliott Gould narrates.

Taxi 2
Taxi 2 is a French action comedy film directed by Gérard Krawczyk and released in March 2000. Starring Samy Naceri, Frédéric Diefenthal and Marion Cotillard. It is a sequel to ""Taxi"", written by Luc Besson and directed by Gérard Pirès in 1998. It was followed by ""Taxi 3"" in January 2003.

Andrea Štaka
Andrea Štaka is a Swiss film director best known for winning the Golden Leopard at the 59th Locarno International Film Festival in 2006 for her film,"" Das Fräulein"". Štaka was born in Lucerne in 1973. She attended the film and video department of the Hochschule für Gestaltung und Kunst Zürich. She lives in Zürich and New York.

Richard Norton (archaeologist)
Richard Norton (February 9, 1872 – August 2, 1918) was the organizer and head of the American Volunteer Motor Ambulance Corps (also known as the Norton-Harjes Ambulance Corps), which served on the front in France in World War I from 1914 until it was taken over by the American Army in 1917. He was the son of Charles Eliot Norton and Susan Ridley Sedgewick. He was also the director of the Archaeological Institute of America. He was awarded the Croix de Guerre, the Legion of Honour, and the Order of St. Lazarus. His award of the Cross of the Legion of Honor was the highest award given to any foreigner by France during World War I.

Daniel P. Reigle
Daniel P. Reigle (February 19, 1841 – March 19, 1917) was a Union Army soldier during the American Civil War. He received the Medal of Honor for gallantry during the Battle of Cedar Creek fought near Middletown, Virginia on October 19, 1864. The battle was the decisive engagement of Major General Philip Sheridan’s Valley Campaigns of 1864 and was the largest battle fought in the Shenandoah Valley.

Mitchell Lovelock-Fay
Mitchell Lovelock- Fay( born 12 January 1992 in Canberra) is an Australian cyclist riding for the Avanti Racing Team.

Which film has the director born later, Monsieur Taxi or A Yiddish World Remembered?"
f64be57a0bdd11eba7f7acde48001122,"Estimated date: December 27, 2014","August 7, 2004","𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Estrellas de Buenos Aires
Estrellas de Buenos Aires is a 1956 Argentine film.

Ulises Estrella
Ulises Estrella Moya( July 4, 1939 – December 27, 2014) was an Ecuadorian poet. He was the co-founder of Tzantzismo, a movement of the 1960s, Ecuador. He was also a film expert, who headed the film department of the House of Ecuadorian Culture for over 30 years.

Estrellas
Estrellas is the seventh studio album by the Gipsy Kings released in 1995 in Europe and a year later in the United States, under the title ""Tierra Gitana"".

Como tú no hay dos (TV series)
Como tú no hay dos is an upcoming Spanish- language comedy drama television series produced by W Studios and Lemon Studios for Televisa and Univision. It stars Claudia Martín, and Adrián Uribe. The production of the series began on 26 September 2019 in Mexico City, Mexico. 13 episodes of an hour were confirmed.

Kim Dae-jung
Kim Dae-jung, or Kim Dae Jung( 6 January 192418 August 2009), was a South Korean politician who served as President of South Korea from 1998 to 2003. He was a 2000 Nobel Peace Prize recipient, the only Korean Nobel Prize recipient in history. He was sometimes referred to as the"" Nelson Mandela of South Korea"".

List of waterfalls in Hamilton, Ontario
The city of Hamilton in Ontario, Canada is home to more than 100 waterfalls and cascades, most of which are on or near the Bruce Trail as it winds through the Niagara Escarpment. Ontario's internationally recognized Niagara Escarpment provides perfect geological conditions for waterfalls to occur, from Tobermory to Niagara Falls.

George H. Lindsay
George Henry Lindsay (January 7, 1837 – May 25, 1916) was a United States Representative from New York. he was the Coroner of Kings County, New York from 1886 to 1892.

Demonizing the enemy
Demonizing the enemy, Demonization of the enemy or Dehumanization of the enemy is a propaganda technique which promotes an idea about the enemy being a threatening, evil aggressor with only destructive objectives. Demonization is the oldest propaganda technique aimed to inspire hatred toward the enemy necessary to hurt them more easily, to preserve and mobilize allies and demoralize the enemy.

What is the date of death of the director of film Escándalo De Estrellas?"
6c2aa97108d711ebbd9aac1f6bf848b6,Trouble With Jolanthe.,Trouble With Jolanthe,"Jorah Mormont
Introduced in 1996's A Game of Thrones, Jorah is the only son of Jeor Mormont, the honorable lord commander of the Nights Watch of the kingdom of Westeros. He subsequently appeared in Martin's A Clash of Kings (1998), A Storm of Swords (2000) and A Dance with Dragons (2011).

The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
Tilda Swinton as Jadis, the White Witch, who holds Narnia under an eternal winter without Christmas or Spring or Summer.

List of most expensive films
Due to the secretive nature of Hollywood accounting it is not clear which film is the most expensive film ever made. Pirates of the Caribbean: On Stranger Tides officially holds the record with a budget of $378.5 million, while The Hobbit trilogy stands as the most expensive back - to - back film production with combined costs of $623 million after tax credits.

Academy Award for Best Director
Wins Director John Ford Frank Capra William Wyler Frank Borzage Clint Eastwood Miloš Forman Alejandro G. Iñárritu Elia Kazan David Lean Ang Lee Frank Lloyd Joseph L. Mankiewicz Leo McCarey Lewis Milestone Steven Spielberg George Stevens Oliver Stone Billy Wilder Robert Wise Fred Zinnemann

78th Academy Awards
Philip Seymour Hoffman -- Capote as Truman Capote Terrence Howard -- Hustle & Flow as DJay Heath Ledger -- Brokeback Mountain as Ennis Del Mar Joaquin Phoenix -- Walk the Line as Johnny Cash David Strathairn -- Good Night, and Good Luck as Edward R. Murrow

Red Roses for Me (song)
Red Roses For Me is a single by The Dubliners and Niamh Kavanagh charting at No.13 in the Irish Charts in 1994. This was the last single Ronnie Drew would ever release with The Dubliners.

Hugh I, Count of Dammartin
Hugh I (died after 1093), Count of Dammartin and Seigneur de Bulles, son of Manasses, Count of Dammartin, and Constance of France. Hugh's maternal grandfather was Robert the Pious, King of France, and his paternal great-grandfather was Hilduin I, Count of Montdidier. Hugh married Rohese, sister of Ascelin, Seigneur de Bulles, and they had four children:
Lancelin, though never Count of Dammartin, was known as Lord of Dammartin and joined other petty barons in alliance with Hugh of Crecy and Theobald II, Count of Champagne, against Louis VI the Fat and, later, Louis VII of France. Hugh was succeeded as Count of Dammartin by his son Pierre.

Basement (2010 film)
Basement is a 2010 British horror film, starring Danny Dyer and written by Ewen Glass about six friends who are lured into a basement for a sinister experiment.

Tajareh, Saveh
Tajareh( also known as Tajjra) is a village in Bayat Rural District, Nowbaran District, Saveh County, Markazi Province, Iran. At the 2006 census, its population was 142, in 47 families.

Which film has the director born first, Trouble With Jolanthe or Children Of Fortune?"
a5b095c00bdd11eba7f7acde48001122,Chicago,California,"Terror in the Aisles
Terror in the Aisles is a 1984 American documentary film about horror films featuring clips from"" Friday the 13th"" I and II,"" The Texas Chain Saw Massacre Halloween"" I and II,"" Jaws"" 1 and 2,"" AlienJohn Carpenter's The Thing The Shining"" and Alfred Hitchcock's"" Psycho"" and"" The Birds"". The film is directed by Andrew J. Kuehn, and hosted by Donald Pleasence and Nancy Allen. The original music score is composed by John Beal.

Planet Terror (soundtrack)
The soundtrack to"" Planet Terror""( Robert Rodriguez's segment of"" Grindhouse"") was released on April 3, 2007 from Varèse Sarabande, though the score managed to sell on iTunes a week early. Rodriguez revealed at Comic- Con 2006 that inspiration for his score came from music composed by John Carpenter. Rodriguez said that during the filming of"" Planet Terror"", Carpenter's music was often played on set.

Steven Spielberg
Spielberg won the Academy Award for Best Director for Schindler's List (1993) and Saving Private Ryan (1998). Three of Spielberg's films—Jaws (1975), E.T. the Extra-Terrestrial (1982), and Jurassic Park (1993)—achieved box office records, originated and came to epitomize the blockbuster film. The unadjusted gross of all Spielberg-directed films exceeds $9 billion worldwide, making him the highest-grossing director in history. His personal net worth is estimated to be more than $3 billion. He has been associated with composer John Williams since 1974, who composed music for all save five of Spielberg's feature films.

Alex Wurman
Alex Wurman( born October 5, 1966) is an American composer who hails from Chicago. He is best known for his film scores to March of the Penguins,,, and the TV series Patriot.

Fred Myrow
Fredric Myrow( July 16, 1939 – January 14, 1999) was an American composer. He is known for composing the soundtracks for Phantasm, Soylent Green and Scarecrow.

Pokémon Rumble Blast
Pokémon Rumble Blast, known in the PAL region as Super Pokémon Rumble and known in Japan as , is an action beat 'em up video game in the Pokémon series for the Nintendo 3DS. The game was released in Japan on August 11, 2011, in North America on October 24, 2011 and in Europe on December 2, 2011. It is a successor to the 2009 WiiWare release ""Pokémon Rumble"".

Dmitri Sasin
Dmitri Andreyevich Sasin( born 21 August 1996) is a Russian football player. He plays for FC Tom Tomsk.

Jeff Barlow
Jeff Barlow was a British actor who was born in Lancashire in 1871.

USS Orleans Parish (LST-1069)
USS ""Orleans Parish"" (LST-1069) was an in the United States Navy during World War II. Unlike many of her class, which received only numbers and were disposed of after World War II, she survived long enough to be named. On 1 July 1955, all LSTs still in commission were named for US counties or parishes; LST-1069 was given the name Orleans Parish, after Orleans Parish, Louisiana. She was the only U.S. Naval vessel to bear that name.

Where was the composer of film Terror In The Aisles born?"
8471ae5808d111ebbd95ac1f6bf848b6,Graves Without A Name,Graves Without A Name,"David Roland
David Roland is a film producer and director.

Bilbo Baggins
In Peter Jackson's The Hobbit film series, a prequel to The Lord of the Rings, the young Bilbo is portrayed by Martin Freeman while Ian Holm reprises his role as an older Bilbo in An Unexpected Journey (2012) and The Battle of the Five Armies (2014).

Roland the Mighty
Roland the Mighty is a 1956 Italian film directed by Pietro Francisci. about the Battle of Roncevaux Pass in AD 778, where Roland, a knight in the service of Charlemagne was killed while defending the rear- guard of the Frankish army as it retreated across the Pyrenees.

The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
Tilda Swinton as Jadis, the White Witch, who holds Narnia under an eternal winter without Christmas or Spring or Summer.

List of most expensive films
Due to the secretive nature of Hollywood accounting it is not clear which film is the most expensive film ever made. Pirates of the Caribbean: On Stranger Tides officially holds the record with a budget of $378.5 million, while The Hobbit trilogy stands as the most expensive back - to - back film production with combined costs of $623 million after tax credits.

Vladaya
Vladaya is a village situated on the Vitosha and Lyulin mountains in western Bulgaria at an altitude of about 1000 m. In the 2011 census in Vladaya were counted 4043 residents, which makes it the 10th- largest village in Bulgaria.

Barisan of Ibelin
Barisan of Ibelin (died 1150) was an important figure in the crusader Kingdom of Jerusalem, and was the founder of the Ibelin family. His name was later written as ""Balian"" and he is sometimes known as Balian the Elder, Barisan the Old or Balian I. Barisan's origins are obscure. The Ibelins later claimed to be descended from the viscounts of Chartres, but according to Peter W. Edbury, Barisan was probably from northern Italy. According to Jonathan Riley-Smith, however, he may have indeed been connected to Chartres, as the brother of Hugh of Le Puiset, Count of Jaffa; he would then have also been a cousin to the Montlhéry family of King Baldwin II of Jerusalem. However, nothing certain is known of his life before 1115, when he appears as constable of Jaffa under Hugh. In 1120 he was present at the Council of Nablus, where the first laws of the kingdom were promulgated, perhaps representing the new, underaged Count of Jaffa, Hugh II. Around the same year, his services were rewarded with a marriage to Helvis of Ramla, daughter of Baldwin I of Ramla. In 1134, when Hugh II rebelled against King Fulk, Barisan supported the king, and soon became prominent at Fulk's court. In 1141, perhaps as a reward for his loyalty in 1134, he was granted the newly constructed castle of Ibelin, located in the County of Jaffa between Jaffa itself and the Fatimid Egyptian fortress of Ascalon. It was from this castle that the family took their name. In 1148 Barisan inherited the nearby lordship of Ramla, through his wife Helvis. That year, Barisan was also present at the council convened at Acre after the arrival of the Second Crusade, at which it was decided to attack Damascus. Barisan died in 1150 and Ibelin was inherited by Hugh. Helvis then married Manasses of Hierges, Constable of Jerusalem. With Helvis lady of Ramla (daughter of Baldwin I of Ramla), Barisan was the father of:

Tasmina Ahmed-Sheikh
Tasmina Ahmed- Sheikh OBE WS NP( born 5 October 1970) is a Scottish politician. She was elected Member of Parliament( MP) for Ochil and South Perthshire in May 2015, and has served as the Scottish National Party Trade and Investment spokesperson, Deputy Shadow Leader of the House in the House of Commons, and the SNP's National Women's and Equalities Convener. She was defeated at the 2017 United Kingdom general election. A solicitor and businessperson, and a former actress, Ahmed- Sheikh founded and formerly chaired the Scottish Asian Women's Association.

Emani Sankara Sastry
Emani Sankara Sastry( 23 September 1922 – 1987), was a renowned Veena player of Carnatic music.

Which film whose director is younger, Roland The Mighty or Graves Without A Name?"
769106c40bda11eba7f7acde48001122,No information available.,laryngeal cancer,"Oh boy, oh boy, oh boy!
Oh boy, oh boy, oh boy! is a song written by Lasse Dahlquist, and released as a recorded song in 1946. The song has also been recorded by Alf Robertsson and Charlie Norman. The song, which depicts a British Navy visit to Gothenburg, has become a standard sing-along song in Sweden.

Oh My God
Oh My God, O My God, Oh My God! or Ohmigod may refer to:

Oh Boy
Oh Boy or Ooh Boy or"" variant"", may refer to:

Oh No! Oh My!
Oh No! Oh My!' is the debut album of indie rock band Oh No Oh My, released on July 11, 2006.

Cause of death (disambiguation)
Cause of death may refer to:

Billy Connolly
In 1985, he divorced Iris Pressagh, his wife of sixteen years (they had separated four years earlier) and he was awarded custody of their children Jamie and Cara. That same year, he performed An Audience with..., which was videotaped at the South Bank Television Centre in front of a celebrity audience for ITV. The uncut, uncensored version was subsequently released on video. In July 1985, he performed at the Wembley leg of Live Aid, immediately preceding Elton John.

Linda Lamb
Linda Lamb is an American singer and musician of European descent, who has worked with Vitalic and Nina Hagen; she is known for her underground hit"" Hot Room"".

Cool Blue
Cool Blue is a 1990 American romantic comedy film directed by Mark Mullin and Richard Shepard, and stars Woody Harrelson, Hank Azaria, Ely Pouget and Sean Penn. The film received an R rating by the MPAA.

Kai Lykke
Kai Lykke or Cai Lykke( 16 March 1625- 9 September 1699) was a Danish nobleman and courtier.

What is the cause of death of performer of song Oh Boy, Oh Boy, Oh Boy!?"
5a83ed2f086611ebbd5eac1f6bf848b6,When You're Strange.,Vzdušné Torpédo 48,"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

List of Dragon Ball Super episodes
107 31 ``Revenge`` F ''The Cunning Trap?!'' ``Fukushū no Efu! Shikakerareta Kōkatsu na Wana!? ''(復讐の「 F 」! しかけられた狡猾な罠!?) September 17, 2017 TBA

Hong Kong Film Critics Society
The Hong Kong Film Critics Society (HKFCS; Traditional Chinese: 香港電影評論學會), founded in 1995, is the peak organization of film critics and professionals in Hong Kong. It is also a member of FIPRESCI.

To Kill with Intrigue
To Kill with Intrigue( Chinese: 劍花煙雨江南) is a Kung Fu 1977 Hong Kong action film, directed by Lo Wei. In the movie's plot, Chin Chang Yin( Feng Hsu) leads a gang known as the Killer Bees on a revenge mission to kill Cao Lei's( Jackie Chan) family. However, she kills everyone but Cao Lei and falls in love with him. Jackie mentions, in his book"" I Am Jackie Chan"", how much of the plot is confusing, and he was sure that even the director, Lo Wei, did n't even know what was going on. He has also gone on to express that tensions between himself and the director along with the generally cold weather at the time of filming made for a frustrating experience. The movie was filmed in Korea.

Nǃai, the Story of a ǃKung Woman
Nǃai, the Story of a ǃ Kung Woman is a documentary film by ethnographic filmmaker John Marshall. The film was first broadcast in 1980 as part of the Odyssey series on PBS and is distributed by Documentary Educational Resources. It provides a broad overview of Juǀʼhoan life, both past and present, and an intimate portrait of Nǃai, a Juǀʼhoan woman who in 1978 was in her mid-thirties. Nǃai tells her own story, and in so doing, the story of Juǀʼhoan life.

Kolodischi TV Mast
The Kolodischi TV Mast  is a 350-metre tall guyed TV mast situated at Kolodischi, east of Minsk in Belarus. It is among the tallest towers in Belarus.

1 Day
1 Day is a 2009 British crime film about gangs and their communities in inner city Birmingham. The story follows Flash as he attempts to get £100,000 to his boss Angel in less than 24 hours or face certain death. Directed by Penny Woolcock, the film is street-cast and features no professional actors. It stars Dylan Duffus, Duncan Tobias, Yohance Watson, and Ohran Whyte.

The Seventh Company Outdoors
The Seventh Company Outdoors  is a 1977 French comedy film directed by Robert Lamoureux. It is a sequel to Now Where Did the 7th Company Get to?.

Cy Morgan
Harry Richard "" Cy"" Morgan( November 10, 1878 – June 28, 1962) was an American Major League Baseball pitcher with the St. Louis Browns, Boston Red Sox, Philadelphia Athletics and the Cincinnati Reds between 1903 and 1913. Morgan batted and threw right- handed. He was born in Pomeroy, Ohio He helped the Athletics win the 1910 and 1911 World Series. The 1912 Reach Guide credits him with helping carry the pitching burder for the 1911 team while stars Jack Coombs and Chief Bender were less effective than usual early in the season.

Which film has the director who is older, When You'Re Strange or Vzdušné Torpédo 48?"
3a3c2efe0bdc11eba7f7acde48001122,German,Germany,"Beatrice I, Countess of Burgundy
Beatrice I (1143 – 15 November 1184) was Countess of Burgundy from 1148 until her death, and was also Holy Roman Empress by marriage to Frederick Barbarossa. She was crowned empress by Antipope Paschal III in Rome on 1 August 1167, and as Queen of Burgundy at Vienne in August 1178.

Beatrice of Navarre, Duchess of Burgundy
Beatrice of Navarre (1242? – 1295), was Duchess of Burgundy, by marriage to Hugh IV, Duke of Burgundy. She was a daughter of Theobald I of Navarre and his third wife Margaret of Bourbon. Her siblings included Theobald II of Navarre and Henry I of Navarre. She is also known as Beatrix of Champagne.

Joan I, Countess of Burgundy
Joan I( 1191 – 1205), also called Joanna of Hohenstaufen, was ruling Countess of Burgundy 1200- 1205, daughter of Otto I, Count of Burgundy, and Margaret, Countess of Blois. Born in 1191, Joan was countess from the time of her father's assassination at Besançon in 1200 until her own death in 1205, whereupon her sister, Beatrice II, succeeded her.

Beatrice of Burgundy, Lady of Bourbon
Beatrice of Burgundy (1257 – October 1, 1310) was a ruling Lady of Bourbon in 1288-1310 and, through her mother, heiress of all Bourbon estates. She was the daughter of John of Burgundy (son of Hugh IV, Duke of Burgundy) and Agnes of Dampierre. In 1272 Beatrice married Robert, Count of Clermont and their eldest son Louis I, ""le Boiteux"" became the first Duke of Bourbon. It is through her that her distant male descendants of the French House of Bourbon get their name.

Beatrice of Albon
Béatrice, Countess of Albon and Dauphine of Viennois( 1161–1228) was ruling countess and dauphine in 1162- 1228, in succession upon the death of her father Guigues V. She married Hugh III, Duke of Burgundy in 1183 and had three children:

Norman Miscampbell
Norman Alexander Miscampbell, QC( 20 February 1925 – 16 February 2007) was a British Conservative Party politician. He served as Member of Parliament( MP) for Blackpool North for 30 years, from 1962 to 1992, making him Blackpool's longest serving MP.

Stinson Gulch
Stinson Gulch is a valley in Marin County, California, United States which is associated with a small stream. The stream descends the western slope of the Bolinas Ridge, crosses State Route 1 just north of Stinson Beach, California, and drains into the southern tip of Bolinas Lagoon. Most of Stinson Gulch is included in Mount Tamalpais State Park. The gulch and the groundwater associated with it supply most of the water for the town of Stinson Beach.

Victoria Hattam
Victoria Hattam (born November 16, 1953) is an Australian-born American political scientist, noted for her research on American political economy and political development, and on the role of class, race and ethnicity in American politics.

Sabzabad, Markazi
Sabzabad( also Romanized as Sabzābād) is a village in Khosrow Beyk Rural District, Milajerd District, Komijan County, Markazi Province, Iran. At the 2006 census, its population was 84, in 19 families.

What nationality is Beatrice I, Countess Of Burgundy's husband?"
b25687fa090011ebbdadac1f6bf848b6,Taxi Zum Klo,Saajan Bina Suhagan,"Taxi nach Kairo
Taxi nach Kairo is a 1987 film written and directed by Frank Ripploh and the sequel to Taxi zum Klo. The film is about a love triangle between Frank, Klara, an actress posing as Frank's wife in order to appease his mother, and their neighbor, Eugen. The title translates to Taxi to Cairo.

Saajan Bina Suhagan
Saajan Bina Suhagan( meaning' bride without bridegroom') is a 1978 Hindi drama film produced and directed by Saawan Kumar Tak. The film stars Rajendra Kumar, Nutan, Vinod Mehra, Padmini Kohlapure and Shreeram Lagoo, the films music is by Usha Khanna. It has a popular song"" Madhuban Khushboo Deta Hai"" sung by Yesudas, Anuradha Paudwal and Hemlata. The film was remade in Tamil as Mangala Nayagi in 1980 and remade in Malayalam as Oru Kochukatha Aarum Parayathe Katha in 1984

Apa Kata Hati?
Apa Kata Hati is a Malaysian comedy and romantic film released on 29 May 2008. This film is directed by Saw Teong Hin.

Samita Bangargi
Samita Bangargi is an Indian actress, known for Ramji Londonwaley, Shaadi Ka Laddoo and Yeh Kya Ho Raha Hai ?.

Saawan... The Love Season
Saawan ... The Love Season is a Hindi romance film directed by Saawan Kumar, starring Saloni Aswani, Kapil Jhaveri, Ranjeet, Prem Chopra and Salman Khan amongst others in pivotal roles. The title of the film was named after the director Saawan Kumar. This movie has many similarities with Angelina Jolie ’s 2002 starrer- Life or something like it; even though there has n’t been any confirmation whether it was based on the latter.

The Jewish Quarterly Review
The Jewish Quarterly Review is a quarterly peer-reviewed academic journal covering Jewish studies. It is published by the University of Pennsylvania Press on behalf of the Herbert D. Katz Center for Advanced Judaic Studies (University of Pennsylvania). The editors-in-chief are Elliott Horowitz, David N. Myers UCLA, and Natalie Dohrmann. It is available online through Project MUSE and JSTOR. The journal was established in London in 1889 by Israel Abrahams and Claude G. Montefiore as an English-language concurrent of the French ""Revue des études juives"", itself an outgrowth of the Wissenschaft des Judentums movement. It is the oldest English-language journal of Judaic scholarship.

Summit Lake (Vancouver Island)
Summit Lake is a small lake located on Vancouver Island, Canada, southwest of Cameron Lake.

T. J. Hoisington
TJ Hoisington is an American author, professional speaker, entrepreneur, business consultant and publisher. His book,"" If You Think You Can!: Thirteen Laws That Govern the Performance of High Achievers"" is sold in 34 countries and also author of"" Return to Robinson Island"", a sequel based Swiss Family Robinson. He is the host of Web show"" Lessons on Success"", where he interviews high achievers.

Street People (film)
Street People (also known as ""The Executors"" and ""The Sicilian Cross"") is an Italian crime-action film directed in 1976 by Maurizio Lucidi. It was written, among others, by the ""French Connection"" 's screenwriter, Ernest Tidyman. It was released in United States by American International Pictures.

Which film was released first, Taxi Zum Klo or Saajan Bina Suhagan?"
b8e9d716088411ebbd6dac1f6bf848b6,"Şaban, Son of Şaban","Şaban, Son Of Şaban","𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

East Meets West (2011 film)
East Meets West( 東成西就 2011) is a 2011 Hong Kong comedy film directed by Jeffrey Lau.

List of Chinese film directors
"" The following is a list of notable film directors from Mainland China.""

Film manifesto
There have been a number of manifestos related to film. These propose the author/ s feelings and briefing on the how and why of film:

Questions!/Answers?
What is the importance of history in designers and architects life?

Eugene Bossilkov
Blessed Eugene Bossilkov, born Vincent Bossilkov( b. 16 Nov 1900- 11 Nov 1952), was a member of the Passionist Congregation, Roman Catholic bishop of Nicopolis and martyr in the Communist campaign in Bulgaria against religion. He had studied in Rome for his doctorate at the Pontifical Oriental Institute and became a parish priest in the Danube Valley. After becoming bishop, in 1952 he was arrested, together with many other religious, and executed for ostensible crimes against the state. He was beatified by Pope John Paul II in 1998.

English (2018 film)
English is an upcoming Chinese coming- of- age film directed by Joan Chen, based on the eponymous novel by Wang Gang. The story is set in the Cultural Revolution. Filming wrapped up in Xinjiang in October 2017.

Julius Kaplan
Julius D. Kaplan is an American art historian who in 1999 was appointed professor of art at California State University. He made his name through his studies of the art of Gustave Moreau, about which he has published two books, the first of which,"" The art of Gustave Moreau: Theory, style and content""( 1972), was an elaboration of his PhD thesis.

Hans Meyer (geographer)
Hans Heinrich Josef Meyer( March 22, 1858 – July 5, 1929) was a German geographer from Hildburghausen, who was the son of publisher Herrmann Julius Meyer( 1826- 1909). Hans Meyer is credited with being the first European to reach the summit of Mount Kilimanjaro 5,895 m( 19,341 ft). Kilimanjaro has three peaks: Shira, 3,962 m( 12,999 ft); Mawenzi, 5,149 m( 16,893 ft); and Kibo, whose summit was reached by Meyer in 1889.

Which film has the director born first, Şaban, Son Of Şaban or East/West?"
